Stkcd	Accper	FraudID	StkName	FileName	DisposalDate	DisposalYear	MatchingYear	Type	VioYear	Violation1	Violation2	DocID	Annodt	Audittyp	Auditor	Dadtunit
7	2013/12/31	1	全新好	关于对深圳市零七股份有限公司及相关当事人给予处分的决定	2014/8/26	2014	2013	公开谴责	2012	重大遗漏,其他	虚假记载	深.315	2014/4/24	标准无保留意见	李泽浩,易永健	瑞华会计师事务所(特殊普通合伙)
9	2001/12/31	2	中国宝安	关于对中水集团远洋股份有限公司等十一家上市公司予以内部通报批评的决定	2002/7/17	2002	2001	内部批评	2001	推迟披露	推迟披露	深.950	2002/4/7	标准无保留意见	梁烽,李光道	深圳鹏城会计师事务所
10	2009/12/31	3	美丽生态	关于对深圳市华新股份有限公司及相关当事人给予通报批评的决定	2010/6/24	2010	2009	交易所通报批评	2003	虚假记载(误导性陈述),重大遗漏,占用公司资产	虚假记载(误导性陈述),重大遗漏,占用公司资产	深.543	2010/4/19	保留意见加事项段	杨平高,杨盛巧	深圳市鹏城会计师事务所有限公司
12	2016/12/31	4	南  玻Ａ	关于对中国南玻集团股份有限公司及相关当事人给予处分的决定	2017/12/20	2017	2016	通报批评	2013	虚假记载(误导性陈述)	虚假记载(误导性陈述)	深.19	2017/4/27	标准无保留意见	姚文平,韩旭	普华永道中天会计师事务所(特殊普通合伙)
13	2000/12/31	5	*ST石化A	关于对广西康达（集团）股份有限公司等公司予以内部批评的决定	2001/7/3	2001	2000	内部批评	2000	推迟披露,重大遗漏,占用公司资产,其他	推迟披露,重大遗漏,占用公司资产,其他	深.1118	2001/4/2	无保留意见加说明段	刘加荣,徐林文	中天勤会计师事务所
19	1999/12/31	6	深深宝Ａ	关于对深圳市深宝实业股份有限公司予以内部批评的决定	2000/6/28	2000	1999	内部批评	1999	推迟披露	推迟披露	深.1151	2000/4/12	无保留意见加说明段	\N	深圳中天会计师事务所
20	2003/12/31	7	深华发Ａ	关于对深圳华发电子股份有限公司及相关人员予以内部通报批评的决定	2004/6/10	2004	2003	内部批评	2000	虚构利润,推迟披露	虚构利润,推迟披露	深.839	2004/4/9	标准无保留意见	钟平,杨涟	深圳南方民和会计师事务所有限责任公司
21	2000/12/31	8	深科技	关于对深圳开发科技股份有限公司予以内部通报批评的决定	2001/12/19	2001	2000	内部批评	2000	推迟披露	推迟披露	深.1024	2001/2/28	标准无保留意见	祝小兰,蒋贤山	中天勤会计师事务所
26	2000/12/31	9	飞亚达Ａ	关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定	2001/10/31	2001	2000	内部批评	2001	推迟披露,违规担保	推迟披露,违规担保	深.1058	2001/4/23	标准无保留意见	许丽周,李莉	中天勤会计师事务所
33	2013/12/31	10	新都退	关于对深圳新都酒店股份有限公司及相关当事人给予处分的决定	2014/8/26	2014	2013	公开谴责	2011	虚假记载(误导性陈述)	虚假记载(误导性陈述)	深.313	2014/4/28	无法发表意见	高敏,朱风娣	立信会计师事务所(特殊普通合伙)
34	2006/12/31	11	神州数码	中国证监会行政处罚决定书（深信泰丰及肖水龙、王迎等人）	2007/8/30	2007	2006	\N	2003	虚假记载(误导性陈述),重大遗漏	虚假记载(误导性陈述),重大遗漏	证.811	2007/4/26	无保留意见加事项段	李巧仪,李花	深圳南方民和会计师事务所有限责任公司
