FraudID	Stkcd	DisposalDate	DisposalYear	Trddt+m10	Trddt+m9	Trddt+m8	Trddt+m7	Trddt+m6	Trddt+m5	Trddt+m4	Trddt+m3	Trddt+m2	Trddt+m1	Trddt	Trddt+1	Trddt+2	Trddt+3	Trddt+4	Trddt+5	Trddt+6	Trddt+7	Trddt+8	Trddt+9	Trddt+10	Trddt+11	Trddt+12	Trddt+13	Trddt+14	Trddt+15	Trddt+16	Trddt+17	Trddt+18	Trddt+19	Trddt+20	Trddt+21	Trddt+22	Trddt+23	Trddt+24	Trddt+25	Trddt+26	Trddt+27	Trddt+28	Trddt+29	Trddt+30	Trddt+31	Trddt+32	Trddt+33	Trddt+34	Trddt+35	Trddt+36	Trddt+37	Trddt+38	Trddt+39	Trddt+40	Trddt+41	Trddt+42	Trddt+43	Trddt+44	Trddt+45	Trddt+46	Trddt+47	Trddt+48	Trddt+49	Trddt+50	Trddt+51	Trddt+52	Trddt+53	Trddt+54	Trddt+55	Trddt+56	Trddt+57	Trddt+58	Trddt+59	Trddt+60
1	7	2014/8/26	2014	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.099913	0.100316	0.099785	0.099869	0.093175	-0.045603	0.011377	-0.038808	0.000585	0.038012	-0.014085	0.022857	0.005028	-0.008894	-0.012339	-0.006814	-0.048599	0.039663	0.002312	0.00519	-0.008032	-0.008097	-0.017493	-0.020178	-0.026045	0.015547	0.015922	-0.041591	0	0.047799	-0.012005	0.016403	0.03168	-0.022016	0.010071	-0.008798	-0.011243	0.033513	0.01216	-0.031465	0.005316	-0.03349	-0.002432	0.011578	-0.018072	0.003681	-0.005501	0.005532	-0.005501	0.004917	-0.010398	0.003708	-0.006773
2	9	2002/7/17	2002	0.001333	0.015979	-0.006553	0.006596	0.005242	-0.027379	-0.020107	-0.01368	-0.01387	0.009845	0.020891	-0.006821	-0.004121	-0.022069	-0.014104	0.02289	-0.01958	-0.035663	0.016272	-0.008734	-0.016153	0.013433	-0.004418	-0.019231	0.058824	-0.018519	-0.001451	-0.015988	-0.001477	0.001479	0.014771	-0.020378	0.007429	-0.011799	0.029851	0.008696	0.001437	0.001435	-0.020057	-0.004386	-0.001468	-0.004412	0.017725	-0.01016	0.004399	-0.00292	-0.019034	-0.014925	-0.024242	-0.009317	0.00627	-0.004673	-0.010955	-0.03481	0.001639	-0.006547	0.09061	-0.036254	0.007837	-0.010886	0.004717	-0.004695	-0.001572	0.009449	-0.051482	-0.001645	0	0.029654	-0.0112	0.027508	-0.017323
3	10	2010/6/24	2010	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
4	12	2017/12/20	2017	0.006834	-0.019231	0.008074	0.004577	0	0.005695	-0.007928	-0.044521	-0.017921	0.002433	-0.015777	0.009864	0.008547	-0.01937	0.016049	-0.009721	0.004908	0.031746	0.020118	0.031323	-0.015748	-0.003429	0.020642	0.002247	-0.019058	0.016	-0.021372	0.002299	0.012615	-0.00906	0.032	0.003322	0.013245	-0.006536	-0.002193	-0.013187	0.023385	-0.020675	-0.018889	-0.012458	-0.042431	0.013174	0.001182	-0.076741	0	0.015345	-0.051637	0.021248	0.0013	0.01039	0.015424	0.006329	0.013836	-0.013648	0.005031	0.001252	-0.00875	-0.002522	0.02402	-0.007407	0.018657	-0.003663	0.004902	-0.007317	0.007371	0.00122	-0.014616	-0.02225	-0.007585	-0.006369	-0.002564
5	13	2001/7/3	2001	0.007905	0.005882	0.017544	0.003831	0.005725	0.003795	-0.022054	-0.002577	\N	-0.011628	-0.001961	-0.009168	-0.029742	-0.01703	0.011781	0.023973	-0.02408	-0.001371	0.002059	-0.024658	0.005618	-0.013268	0.02477	0.012431	-0.008868	-0.022712	-0.01338	-0.000714	0.008571	-0.073654	-0.013761	0.057364	-0.017595	-0.000746	-0.029126	0.022308	-0.016554	0.019893	0.006752	0.002981	-0.019316	0.00303	-0.01284	-0.00153	0.028352	0.019374	-0.018275	0.01936	-0.013879	-0.034815	0.022256	-0.00976	-0.011372	0.003067	-0.009174	0.024691	0.004518	-0.005997	-0.029412	0.024864	-0.002274	0.032675	-0.030905	-0.006074	-0.025974	0.004706	-0.004684	-0.011765	-0.014286	-0.038647	-0.017588
6	19	2000/6/28	2000	0.002161	-0.010782	-0.008719	-0.015943	-0.00838	-0.011268	-0.023362	-0.00175	-0.007013	-0.02884	0.016364	-0.000596	-0.051909	-0.023285	0.010954	-0.033779	-0.029024	0.024457	-0.032493	-0.032214	0.029037	0.011012	0.036079	0.01117	0.006498	0.00581	-0.02439	-0.026316	-0.022297	0.029717	0.002685	0.033467	0.007124	0.032154	-0.026791	0.00064	-0.014715	-0.001299	-0.007802	-0.007208	0.023102	-0.016774	-0.001969	0.028928	-0.01278	0.003236	-0.008387	-0.017567	0.003974	0.002639	-0.021711	-0.012105	0.034037	0.000658	-0.000658	-0.011192	-0.037949	-0.008997	0.019553	-0.027397	-0.035915	0.00073	0.013139	0.033862	0.004181	-0.004164	-0.003484	-0.020979	0.007143	-0.028369	0.018978
7	20	2004/6/10	2004	0.041667	0.026154	0.007496	0.005952	-0.011834	-0.040419	0.00312	-0.026439	-0.007987	-0.049919	-0.023729	-0.024306	-0.049822	0.018727	0.005515	-0.043876	-0.003824	0.036468	0.035185	-0.019678	-0.04927	-0.049904	-0.050505	-0.044681	-0.048998	0.04918	0.049107	-0.021277	0.008696	0.021552	-0.006329	-0.029724	-0.035011	0.015873	-0.020089	0.01139	0.040541	-0.008658	-0.010917	0.01766	-0.017354	-0.030905	-0.020501	-0.039535	-0.024213	0.009926	-0.007371	-0.017327	0.030227	0.046455	0.049065	0.002227	-0.026667	0.018265	-0.020179	-0.045767	0.019185	-0.007059	-0.021327	-0.002421	-0.007282	0.02934	0	0.028504	0.011547	-0.020548	-0.020979	-0.016667	0.038741	-0.030303	0.009615
8	21	2001/12/19	2001	-0.024219	0.007206	0.034181	0.003075	-0.025287	-0.005503	-0.011858	-0.0168	-0.017087	0.014073	-0.009796	-0.02061	0	-0.012626	0.01023	0.000844	-0.007589	0.003398	-0.005927	-0.024702	-0.0131	0	-0.033628	0.003663	-0.068431	-0.042116	-0.006135	0.016461	-0.055668	0	-0.07717	0.019744	0.069476	0.007455	0	-0.061311	0.013514	-0.018889	0.08607	-0.005214	0.022013	0.041026	-0.048276	0.040373	-0.004975	0.01	-0.013861	0.009036	-0.00597	-0.019019	0.017347	0.032096	0.068999	0.036364	0.026316	0.005983	0.019541	-0.025	0.024786	-0.002502	-0.027592	-0.004299	-0.006908	0.018261	-0.029035	0.009675	-0.022648	-0.016043	0.002717	-0.04336	-0.014164
9	26	2001/10/31	2001	-0.009971	-0.053318	-0.071339	0.001348	0.100269	-0.004281	-0.035012	0.01846	0.03125	0.011515	0.004194	-0.008353	0.01083	-0.00119	-0.028605	-0.025153	0.006923	0.03125	0.002424	-0.005441	0.007903	-0.002413	0.030834	-0.015249	0.021441	-0.011079	0.013561	-0.006981	-0.001172	0.00176	-0.008782	0.021855	0.037572	-0.008914	0.019674	-0.012128	0.007254	-0.000554	0.010532	-0.017005	-0.001116	-0.003352	0	-0.012892	0.014196	0.00112	-0.009508	0.010164	-0.011738	-0.010181	0.002857	-0.008547	0.002299	0.022362	-0.004487	-0.00338	0.008479	-0.01065	0.013598	-0.009503	-0.024831	-0.012731	-0.002931	-0.025867	0.013881	-0.019048	0.014563	0.057416	-0.001697	-0.003399	-0.043775
10	33	2014/8/26	2014	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
11	34	2007/8/30	2007	-0.003636	-0.026764	\N	0.05	0.05	0.049887	\N	\N	0.049676	-0.050412	0.049837	0.049536	0.050147	0.049625	0.049955	-0.011045	0.037801	-0.049669	-0.049652	-0.04583	0.045149	0.016544	0	-0.039783	0.049906	0.024215	0.017513	0.016351	-0.03895	0.008811	0.006114	0.006944	-0.041379	-0.017086	-0.05032	-0.050096	0.005071	-0.040363	0.030494	0.011224	-0.021191	0.019588	-0.049545	-0.05	-0.050392	-0.049528	-0.022333	0.002538	0.018987	0.049689	0.021302	0	0.049826	-0.009934	-0.024526	-0.022857	-0.045614	-0.047794	0.030888	0.033708	-0.019324	0.017241	0.049637	0.009227	0.010286	-0.049774	0.030952	-0.006928	-0.002326	0	0.048951
12	35	2002/4/5	2002	-0.023256	-0.01369	-0.025951	-0.004337	0.008712	-0.064775	-0.010554	-0.038667	0.01595	0.05256	-0.009079	-0.009817	0.03503	0.00447	0.022886	0.004972	0.016698	0.022506	-0.011898	-0.009031	-0.026731	0.003745	0.003109	-0.038438	0.004513	0.023107	0.099749	0.032516	-0.008287	0.008357	-0.030387	-0.017664	0.009281	-0.031034	-0.042112	0.026625	-0.031363	0.047323	-0.011296	0.010222	-0.029167	0.002452	-0.006728	-0.027094	0.005696	0	\N	-0.035242	-0.039139	0.053632	-0.013531	-0.052907	0.010345	-0.008874	-0.007576	-0.031228	-0.012894	0.034833	-0.020337	0.024338	0.087352	0.100257	-0.039136	0.012158	-0.03003	-0.004334	-0.006841	0.100188	-0.017644	-0.010429	0.011124
13	40	2012/12/17	2012	-0.00489	0.017199	0.036232	0.004662	0.023202	-0.00907	0.020595	-0.006726	-0.009029	0.034169	-0.006608	-0.019956	0.029412	-0.01978	0	-0.006726	0.03386	0.0131	-0.023707	0.039735	0.078556	-0.001969	-0.015779	0	-0.018036	0.004082	-0.038618	0.027484	-0.002058	-0.018557	0.006303	0.06263	0.001965	-0.02549	0.044266	-0.036609	-0.03	0.03299	0.007984	0.011881	-0.035225	0.014199	-0.012	0.02834	-0.01378	-0.005988	0.004016	0.004	-0.033865	0.008247	-0.03272	0.002114	0	-0.033755	0.0131	0.025862	-0.004202	-0.075949	0.022831	-0.004464	0.006726	-0.006682	0	-0.022422	0	0.011468	0	-0.011338	0.025229	0.01566	-0.008811
14	43	2001/10/31	2001	0.005761	-0.01473	-0.099668	-0.026753	0.100474	0.062877	-0.035656	0.007563	0.018349	-0.017199	0.0025	0.018288	-0.01551	-0.008292	-0.001672	-0.062814	0.011618	0.016784	-0.018245	0	-0.00354	0.003552	0.025664	0.032787	0.030075	-0.001622	0.008123	-0.014504	0.017171	0.004823	0.012	0.017391	0.01554	-0.000765	0.01072	-0.025	0.006993	-0.010031	0.014809	-0.016897	-0.007031	-0.022817	-0.009662	-0.006504	0.01473	-0.007258	-0.034931	0.009259	-0.022519	0.005119	0.02292	-0.012448	0	-0.002521	-0.041281	-0.008787	-0.009752	-0.03581	0.023213	-0.034483	-0.048872	-0.030632	0.021407	-0.047904	0.01153	-0.099482	-0.100115	0.049872	-0.013398	0.037037	-0.1
15	55	2006/6/28	2006	-0.008811	0	0.04	0.002137	0.023454	-0.016667	-0.019068	0.058315	0.014286	-0.01006	-0.006098	0.02045	0.034068	0.100775	0.084507	-0.040584	0.006768	-0.020168	0.037736	-0.014876	0.010067	-0.099668	0.00738	-0.010989	0.044444	0.005319	0.012346	0.001742	-0.029565	0.005376	0.01426	0.033392	-0.04932	-0.059034	-0.019011	-0.003876	0.023346	-0.055133	-0.036217	0.033403	0.026263	0.01378	0.013592	-0.022989	0.027451	0.007634	-0.028409	-0.007797	-0.011788	0.00994	-0.001969	0.021696	-0.001931	0.021277	-0.00947	0.022945	0	0.06729	0.010508	-0.012132	0.001754	-0.042032	0	0.009141	0	-0.021739	-0.016667	0.020716	0.02952	-0.005376	0.016216
16	66	2001/12/19	2001	-0.021094	0.030303	-0.010458	0.001982	-0.027686	0.002712	-0.019608	-0.001379	0.002762	0.022039	-0.014825	-0.038304	0.002845	-0.022695	-0.012337	0.019838	-0.012248	0.006565	-0.007246	-0.035766	0.00757	-0.022539	-0.000769	0.017692	-0.023432	-0.048762	-0.100081	-0.038879	-0.083725	0.031828	0.014925	0.040196	0.083883	-0.015652	-0.000883	-0.086649	0.038722	0.001864	0.076279	-0.004322	0.019097	-0.001704	-0.03157	0.051982	-0.010888	0.004234	-0.01855	-0.005155	-0.019862	0.029075	0.023973	0.020903	0.007371	0.025203	0.02617	0.01391	-0.044207	-0.070175	0.027444	-0.006678	-0.014286	0.017903	0.002513	0.013367	-0.027205	-0.010169	-0.036815	-0.016889	0.015371	-0.039181	-0.018536
17	68	2002/7/2	2002	0.035578	-0.008589	0.023514	0.061893	0.100571	0.007269	0.016495	0	\N	-0.040568	0.01797	0.021807	-0.007114	0.001024	0.02045	-0.012024	-0.022312	-0.009336	0.003141	-0.026096	0.005359	0.023454	-0.003125	0.005225	-0.024948	0.001066	-0.007455	-0.034335	-0.012222	0.020247	-0.022051	-0.013529	0.005714	0.001136	-0.013621	0.032221	-0.007804	0.023596	0.051592	0.012526	-0.009278	0.007284	-0.024793	0.008475	-0.006303	0.024313	-0.002064	0.003102	0.007216	-0.026612	-0.001052	-0.004211	-0.010571	0.004274	0.007447	0.006336	-0.017838	-0.03312	-0.00663	-0.008899	0.005612	0.003348	-0.004449	0	-0.025698	0.019495	0.007874	0.047991	-0.036209	0.00221	-0.002205
18	70	2001/7/3	2001	-0.012029	0.005106	0.006252	-0.00699	0.001955	0.010148	-0.001932	-0.014712	-0.003929	-0.008284	0.008751	0.004338	-0.017668	0.001199	-0.007186	0.006433	-0.021175	0.000408	0.002856	-0.004882	-0.008177	0.005771	-0.002049	0.010267	0.000407	-0.022755	-0.012058	-0.022727	-0.01292	-0.086387	-0.025788	0.047059	-0.035581	0.009223	-0.075517	0.019771	0.00102	0.009174	0.019192	0.006442	-0.017725	0.006015	-0.013951	0	0.013138	0.009476	-0.016798	-0.007035	-0.009109	-0.029622	0.014211	0.018682	0.00866	-0.008081	-0.005092	0.051177	0.002921	0	-0.043204	0.033486	0.004418	-0.002933	-0.007843	-0.017787	-0.020121	0.014887	0.023268	-0.002966	-0.006941	0.000499	0.002994
