id	Trddt-10	Trddt-9	Trddt-8	Trddt-7	Trddt-6	Trddt-5	Trddt-4	Trddt-3	Trddt-2	Trddt-1	Trddt	Trddt+1	Trddt+2	Trddt+3	Trddt+4	Trddt+5	Trddt+6	Trddt+7	Trddt+8	Trddt+9	Trddt+10	Trddt+11	Trddt+12	Trddt+13	Trddt+14	Trddt+15	Trddt+16	Trddt+17	Trddt+18	Trddt+19	Trddt+20	Trddt+21	Trddt+22	Trddt+23	Trddt+24	Trddt+25	Trddt+26	Trddt+27	Trddt+28	Trddt+29	Trddt+30	Trddt+31	Trddt+32	Trddt+33	Trddt+34	Trddt+35	Trddt+36	Trddt+37	Trddt+38	Trddt+39	Trddt+40	Trddt+41	Trddt+42	Trddt+43	Trddt+44	Trddt+45	Trddt+46	Trddt+47	Trddt+48	Trddt+49	Trddt+50	Trddt+51	Trddt+52	Trddt+53	Trddt+54	Trddt+55	Trddt+56	Trddt+57	Trddt+58	Trddt+59	Trddt+60	Cdretmdos
1	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																													-0.021103
2	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																												-0.004989
3	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																											0.010597
4	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																										0.003559
5	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																									0.029177
6	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																								0.003578
7	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																							-0.012613
8	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																						-0.008147
9	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																					-0.001539
10	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																				-0.009568
11	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																			0.014802
12	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																		0.005158
13	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																	-0.005945
14	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																																0.007089
15	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																															0.002909
16	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																														-0.01312
17	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																													-0.008899
18	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																												0.008161
19	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																											-0.006716
20	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																										-0.003218
21	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																									-0.010846
22	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																								0.004389
23	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																							-0.009001
24	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																						-0.014005
25	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																					-0.020945
26	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																				-0.016824
27	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																			0.023397
28	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																		0.00892
29	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																	0.002679
30	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																																0.023974
31	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																															0.000706
32	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																														0.005986
33	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																													0.008566
34	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																												-0.004277
35	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																											-0.003144
36	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																										0.016625
37	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																									0.007535
38	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																								0.004729
39	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																							0.000809
40	1999/3/31	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																						-0.00678
41	1999/4/1	1999/3/31	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																					-0.007401
42	1999/4/2	1999/4/1	1999/3/31	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																				0.01848
43	1999/4/5	1999/4/2	1999/4/1	1999/3/31	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																			0.000698
44	1999/4/6	1999/4/5	1999/4/2	1999/4/1	1999/3/31	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																		-0.000753
45	1999/4/7	1999/4/6	1999/4/5	1999/4/2	1999/4/1	1999/3/31	1999/3/30	1999/3/29	1999/3/26	1999/3/25	1999/3/24	1999/3/23	1999/3/22	1999/3/19	1999/3/18	1999/3/17	1999/3/16	1999/3/15	1999/3/12	1999/3/11	1999/3/10	1999/3/9	1999/3/8	1999/3/5	1999/3/4	1999/3/3	1999/3/2	1999/3/1	1999/2/9	1999/2/8	1999/2/5	1999/2/4	1999/2/3	1999/2/2	1999/2/1	1999/1/29	1999/1/28	1999/1/27	1999/1/26	1999/1/25	1999/1/22	1999/1/21	1999/1/20	1999/1/19	1999/1/18	1999/1/15	1999/1/14	1999/1/13	1999/1/12	1999/1/11	1999/1/8	1999/1/7	1999/1/6	1999/1/5	1999/1/4																	-0.00192
