Con,Year,Stkcd,StkName,Accper,Annodt,Audittyp,Auditor,Dadtunit,DocID,FileName,DisposalDate,Activity,VioYear,Violation1,Violation2,Nonfraud_Stkcd,Nonfraud_StkName,Nonfraud_Accper,Nonfraud_Annodt,Nonfraud_Year,Nonfraud_Audittyp,Nonfraud_Auditor,Nonfraud_Dadtunit
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,11,深物业A,1999/12/31,2000/3/24,1999,无保留意见加说明段,,深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,14,沙河股份,1999/12/31,2000/4/20,1999,无保留意见加说明段,"朱月凤,何祚文",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,29,深深房A,1999/12/31,2000/3/30,1999,标准无保留意见,"何佳义,姚炜",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,38,深大通,1999/12/31,2000/3/21,1999,标准无保留意见,"朱月凤,何祚文",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,46,泛海控股,1999/12/31,2000/2/18,1999,标准无保留意见,"邓夫成,张征",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,56,皇庭国际,1999/12/31,2000/4/21,1999,标准无保留意见,"张征,邓夫成",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,61,农产品,1999/12/31,2000/3/28,1999,标准无保留意见,,深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,576,广东甘化,1999/12/31,2000/3/16,1999,标准无保留意见,"朱月凤,何祚文",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,584,哈工智能,1999/12/31,2000/3/12,1999,保留意见,"张黔城,周珊珊",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,790,泰合健康,1999/12/31,,1999,标准无保留意见,"张黔城,周珊珊",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,809,*ST 新城,1999/12/31,2000/1/29,1999,无保留意见加说明段,"张黔城,周珊珊",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,600212,江泉实业,1999/12/31,2000/3/4,1999,标准无保留意见,"张征,邓夫成",深圳华鹏会计师事务所
36525_深圳华鹏会计师事务所,1999,689,ST 宏 业,1999/12/31,2000/2/28,保留意见加说明段,,深圳华鹏会计师事务所,深.1144,关于对汕头宏业（集团）股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露,600804,鹏博士,1999/12/31,2000/2/28,1999,标准无保留意见,"周珊珊,张黔成",深圳华鹏会计师事务所
36525_深圳同人会计师事务所,1999,535,*ST 猴王,1999/12/31,2000/4/2,无保留意见加说明段,"易永健,朱文岳",深圳同人会计师事务所,深.1152,关于对猴王股份有限公司予以公开谴责的决定,2000/6/16,公开谴责,1994,"重大遗漏,占用公司资产","重大遗漏,占用公司资产",8,神州高铁,1999/12/31,2000/4/26,1999,保留意见加说明段,"朱厚佳,胡三忠",深圳同人会计师事务所
36525_深圳同人会计师事务所,1999,535,*ST 猴王,1999/12/31,2000/4/2,无保留意见加说明段,"易永健,朱文岳",深圳同人会计师事务所,深.1152,关于对猴王股份有限公司予以公开谴责的决定,2000/6/16,公开谴责,1994,"重大遗漏,占用公司资产","重大遗漏,占用公司资产",47,ST 中侨,1999/12/31,2000/4/13,1999,无保留意见加说明段,"胡三忠,朱厚佳",深圳同人会计师事务所
