Con,Year,Stkcd,StkName,Accper,Annodt,Audittyp,Auditor,Dadtunit,DocID,FileName,DisposalDate,Activity,VioYear,Violation1,Violation2,Nonfraud_Stkcd,Nonfraud_StkName,Nonfraud_Accper,Nonfraud_Annodt,Nonfraud_Year,Nonfraud_Audittyp,Nonfraud_Auditor,Nonfraud_Dadtunit,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
42369_北京天圆全会计师事务所(特殊普通合伙),2015,600093,禾嘉股份,2015/12/31,2016/4/22,标准无保留意见,"魏强,高丽华",北京天圆全会计师事务所(特殊普通合伙),上.251,关于对四川禾嘉股份有限公司和董事会秘书徐德智予以监管关注的决定,2016/7/1,监管关注,2015,"推迟披露,其他","推迟披露,其他",2589,瑞康医药,2015/12/31,2016/4/19,2015,标准无保留意见,"周暇,杜宪超",北京天圆全会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_北京天圆全会计师事务所(特殊普通合伙),2015,600093,禾嘉股份,2015/12/31,2016/4/22,标准无保留意见,"魏强,高丽华",北京天圆全会计师事务所(特殊普通合伙),上.251,关于对四川禾嘉股份有限公司和董事会秘书徐德智予以监管关注的决定,2016/7/1,监管关注,2015,"推迟披露,其他","推迟披露,其他",2726,龙大肉食,2015/12/31,2016/3/21,2015,标准无保留意见,"冯芸,常丽旬",北京天圆全会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_北京天圆全会计师事务所(特殊普通合伙),2015,600093,禾嘉股份,2015/12/31,2016/4/22,标准无保留意见,"魏强,高丽华",北京天圆全会计师事务所(特殊普通合伙),上.251,关于对四川禾嘉股份有限公司和董事会秘书徐德智予以监管关注的决定,2016/7/1,监管关注,2015,"推迟披露,其他","推迟披露,其他",300456,耐威科技,2015/12/31,2016/4/24,2015,标准无保留意见,"李知好,侯红梅",北京天圆全会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_北京天圆全会计师事务所(特殊普通合伙),2015,600093,禾嘉股份,2015/12/31,2016/4/22,标准无保留意见,"魏强,高丽华",北京天圆全会计师事务所(特殊普通合伙),上.251,关于对四川禾嘉股份有限公司和董事会秘书徐德智予以监管关注的决定,2016/7/1,监管关注,2015,"推迟披露,其他","推迟披露,其他",600547,山东黄金,2015/12/31,2016/3/30,2015,标准无保留意见,"任文君,孙小波",北京天圆全会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_北京天圆全会计师事务所(特殊普通合伙),2015,600093,禾嘉股份,2015/12/31,2016/4/22,标准无保留意见,"魏强,高丽华",北京天圆全会计师事务所(特殊普通合伙),上.251,关于对四川禾嘉股份有限公司和董事会秘书徐德智予以监管关注的决定,2016/7/1,监管关注,2015,"推迟披露,其他","推迟披露,其他",600794,保税科技,2015/12/31,2016/4/11,2015,标准无保留意见,"魏强,钟旭东",北京天圆全会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_北京天圆全会计师事务所(特殊普通合伙),2015,600093,禾嘉股份,2015/12/31,2016/4/22,标准无保留意见,"魏强,高丽华",北京天圆全会计师事务所(特殊普通合伙),上.251,关于对四川禾嘉股份有限公司和董事会秘书徐德智予以监管关注的决定,2016/7/1,监管关注,2015,"推迟披露,其他","推迟披露,其他",603021,山东华鹏,2015/12/31,2016/4/7,2015,标准无保留意见,"周瑕,任文君",北京天圆全会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_大华会计师事务所(特殊普通合伙),2015,2330,得利斯,2015/12/31,2016/3/14,标准无保留意见,"殷宪锋,徐利君",大华会计师事务所(特殊普通合伙),深.117,关于对大华会计师事务所（特殊普通合伙）注册会计师殷宪锋、徐利君给予通报批评处分的决定,2016/12/28,公开谴责,2014,nonexist,占用公司资产,23,深天地A,2015/12/31,2016/3/8,2015,标准无保留意见,"张兴,张朝铖",大华会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_大华会计师事务所(特殊普通合伙),2015,600120,浙江东方,2015/12/31,2016/3/14,标准无保留意见,"胡超,祝宗善",大华会计师事务所(特殊普通合伙),上.205,关于对浙江东方集团股份有限公司及有关责任人予以通报批评的决定,2016/11/3,通报批评,2013,"虚构利润,占用公司资产","虚构利润,占用公司资产",23,深天地A,2015/12/31,2016/3/8,2015,标准无保留意见,"张兴,张朝铖",大华会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_大华会计师事务所(特殊普通合伙),2015,603227,雪峰科技,2015/12/31,2016/4/24,无保留意见加事项段,"张艳红,刘国辉",大华会计师事务所(特殊普通合伙),上.246,关于对新疆雪峰科技（集团）股份有限公司总经理刘爱华予以监管关注的决定,2016/7/4,监管关注,2015,nonexist,违规担保,23,深天地A,2015/12/31,2016/3/8,2015,标准无保留意见,"张兴,张朝铖",大华会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42369_大华会计师事务所(特殊普通合伙),2015,2330,得利斯,2015/12/31,2016/3/14,标准无保留意见,"殷宪锋,徐利君",大华会计师事务所(特殊普通合伙),深.117,关于对大华会计师事务所（特殊普通合伙）注册会计师殷宪锋、徐利君给予通报批评处分的决定,2016/12/28,公开谴责,2014,nonexist,占用公司资产,36,华联控股,2015/12/31,2016/4/25,2015,标准无保留意见,"王广旭,杨春祥",大华会计师事务所(特殊普通合伙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
