IDD	Con	Year	Stkcd	StkName	Accper	Annodt	Audittyp	Auditor	Dadtunit	DocID	FileName	DisposalDate	Activity	VioYear	Violation1	Violation2	Nonfraud_Stkcd	Nonfraud_StkName	Nonfraud_Accper	Nonfraud_Annodt	Nonfraud_Year	Nonfraud_Audittyp	Nonfraud_Auditor	Nonfraud_Dadtunit	DisposalYear	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
1902	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	599	青岛双星	2005/12/31	2006/4/24	2005	标准无保留意见		大信会计师事务有限公司	2006																																																																							
1903	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	617	中油资本	2005/12/31	2006/3/14	2005	标准无保留意见	李洪,霍海华	大信会计师事务有限公司	2006																																																																							
1904	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	627	天茂集团	2005/12/31	2006/3/18	2005	标准无保留意见	索保国,伍志超	大信会计师事务有限公司	2006																																																																							
1905	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	680	山推股份	2005/12/31	2006/3/25	2005	标准无保留意见	韩志娟,李斐	大信会计师事务有限公司	2006																																																																							
1906	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	716	黑芝麻	2005/12/31	2006/4/21	2005	保留意见	李炜,朱松	大信会计师事务有限公司	2006																																																																							
1907	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	811	冰轮环境	2005/12/31	2006/2/22	2005	标准无保留意见	陆军,万方全	大信会计师事务有限公司	2006																																																																							
1908	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	826	启迪桑德	2005/12/31	2006/2/22	2005	标准无保留意见	索保国,陈立新	大信会计师事务有限公司	2006																																																																							
1909	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	852	石化机械	2005/12/31	2006/2/23	2005	标准无保留意见		大信会计师事务有限公司	2006																																																																							
1910	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	952	广济药业	2005/12/31	2006/3/25	2005	标准无保留意见	袁琳洁,乔冠芳	大信会计师事务有限公司	2006																																																																							
1911	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	978	桂林旅游	2005/12/31	2006/3/16	2005	标准无保留意见	李炜,宋治忠	大信会计师事务有限公司	2006																																																																							
1912	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	600068	葛洲坝	2005/12/31	2006/3/10	2005	标准无保留意见	索保国,陈立新	大信会计师事务有限公司	2006																																																																							
1913	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	600079	人福医药	2005/12/31	2006/4/12	2005	标准无保留意见	索保国,伍志超	大信会计师事务有限公司	2006																																																																							
1914	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	600081	东风科技	2005/12/31	2006/2/20	2005	标准无保留意见	冯琳,刘经进	大信会计师事务有限公司	2006																																																																							
1915	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	600086	东方金钰	2005/12/31	2006/3/28	2005	标准无保留意见	李炜,乔冠芳	大信会计师事务有限公司	2006																																																																							
1916	38717_大信会计师事务有限公司	2005	750	国海证券	2005/12/31	2006/4/22	标准无保留意见	李炜,蔡瑜	大信会计师事务有限公司	深.729	关于对桂林集琦药业股份有限公司及相关当事人给予处分的决定	2006/6/26	公开谴责	2005	nonexist	违规担保	600138	中青旅	2005/12/31	2006/3/2	2005	标准无保留意见	汪巧琳,陈勇波	大信会计师事务有限公司	2006																																																																							
