Con,Stkcd,StkName,Accper,Annodt,Audittyp,Auditor,Dadtunit,DocID,FileName,DisposalDate,Activity,VioDate,Violation1,Violation2
41639_瑞华会计师事务所(特殊普通合伙),7,全新好,2013/12/31,2014/4/24,标准无保留意见,"李泽浩,易永健",瑞华会计师事务所(特殊普通合伙),深.315,关于对深圳市零七股份有限公司及相关当事人给予处分的决定,2014/8/26,公开谴责,2012,"重大遗漏,其他",虚假记载
37256_深圳鹏城会计师事务所,9,中国宝安,2001/12/31,2002/4/7,标准无保留意见,"梁烽,李光道",深圳鹏城会计师事务所,深.950,关于对中水集团远洋股份有限公司等十一家上市公司予以内部通报批评的决定,2002/7/17,内部批评,2001,推迟披露,推迟披露
40178_深圳市鹏城会计师事务所有限公司,10,美丽生态,2009/12/31,2010/4/19,保留意见加事项段,"杨平高,杨盛巧",深圳市鹏城会计师事务所有限公司,深.543,关于对深圳市华新股份有限公司及相关当事人给予通报批评的决定,2010/6/24,交易所通报批评,2003,"虚假记载(误导性陈述),重大遗漏,占用公司资产","虚假记载(误导性陈述),重大遗漏,占用公司资产"
42735_普华永道中天会计师事务所(特殊普通合伙),12,南  玻Ａ,2016/12/31,2017/4/27,标准无保留意见,"姚文平,韩旭",普华永道中天会计师事务所(特殊普通合伙),深.19,关于对中国南玻集团股份有限公司及相关当事人给予处分的决定,2017/12/20,通报批评,2013,虚假记载(误导性陈述),虚假记载(误导性陈述)
36891_中天勤会计师事务所,13,*ST石化A,2000/12/31,2001/4/2,无保留意见加说明段,"刘加荣,徐林文",中天勤会计师事务所,深.1118,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2001/7/3,内部批评,2000,"推迟披露,重大遗漏,占用公司资产,其他","推迟披露,重大遗漏,占用公司资产,其他"
36525_深圳中天会计师事务所,19,深深宝Ａ,1999/12/31,2000/4/12,无保留意见加说明段,,深圳中天会计师事务所,深.1151,关于对深圳市深宝实业股份有限公司予以内部批评的决定,2000/6/28,内部批评,1999,推迟披露,推迟披露
37986_深圳南方民和会计师事务所有限责任公司,20,深华发Ａ,2003/12/31,2004/4/9,标准无保留意见,"钟平,杨涟",深圳南方民和会计师事务所有限责任公司,深.839,关于对深圳华发电子股份有限公司及相关人员予以内部通报批评的决定,2004/6/10,内部批评,2000,"虚构利润,推迟披露","虚构利润,推迟披露"
36891_中天勤会计师事务所,21,深科技,2000/12/31,2001/2/28,标准无保留意见,"祝小兰,蒋贤山",中天勤会计师事务所,深.1024,关于对深圳开发科技股份有限公司予以内部通报批评的决定,2001/12/19,内部批评,2000,推迟披露,推迟披露
36891_中天勤会计师事务所,26,飞亚达Ａ,2000/12/31,2001/4/23,标准无保留意见,"许丽周,李莉",中天勤会计师事务所,深.1058,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2001/10/31,内部批评,2001,"推迟披露,违规担保","推迟披露,违规担保"
41639_立信会计师事务所(特殊普通合伙),33,新都退,2013/12/31,2014/4/28,无法发表意见,"高敏,朱风娣",立信会计师事务所(特殊普通合伙),深.313,关于对深圳新都酒店股份有限公司及相关当事人给予处分的决定,2014/8/26,公开谴责,2011,虚假记载(误导性陈述),虚假记载(误导性陈述)
39082_深圳南方民和会计师事务所有限责任公司,34,神州数码,2006/12/31,2007/4/26,无保留意见加事项段,"李巧仪,李花",深圳南方民和会计师事务所有限责任公司,证.811,中国证监会行政处罚决定书（深信泰丰及肖水龙、王迎等人）,2007/8/30,,2003,"虚假记载(误导性陈述),重大遗漏","虚假记载(误导性陈述),重大遗漏"
37256_深圳天健信德会计师事务所,35,中国天楹,2001/12/31,2002/4/24,无保留意见加说明段,"干长如,龙湖川",深圳天健信德会计师事务所,深.995,关于对中国科健股份有限公司及原董事会秘书董志刚予以公开谴责的决定,2002/4/5,公开谴责,2001,"推迟披露,其他","推迟披露,其他"
40908_深圳市鹏城会计师事务所有限公司,40,东旭蓝天,2011/12/31,2012/4/5,标准无保留意见,"侯立勋,薛海明",深圳市鹏城会计师事务所有限公司,证.534,中国证监会行政处罚决定书（宝安鸿基地产集团股份有限公司、邱瑞亨、任国强等15名责任人）,2012/12/17,,2006,nonexist,重大遗漏
36891_深圳大华天诚会计师事务所,43,中航地产,2000/12/31,2001/3/25,标准无保留意见,"邬建辉,高德惠",深圳大华天诚会计师事务所,深.1057,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2001/10/31,内部批评,2001,"推迟披露,违规担保","推迟披露,违规担保"
38717_厦门天健华天有限责任会计师事务所,55,方大集团,2005/12/31,2006/4/20,标准无保留意见,"徐珊,王肖健",厦门天健华天有限责任会计师事务所,证.856,中国证监会行政处罚决定书（方大集团及熊建明等相关人员）,2006/6/28,,2001,"虚构利润,虚假记载(误导性陈述)","虚构利润,虚假记载(误导性陈述)"
36891_中天勤会计师事务所,66,中国长城,2000/12/31,2001/3/30,标准无保留意见,"刘加荣,徐林文",中天勤会计师事务所,深.1023,关于对中国长城计算机深圳股份有限公司予以内部通报批评的决定,2001/12/19,内部批评,2000,推迟披露,推迟披露
37256_北京中天华正会计师事务所有限公司,68,华控赛格,2001/12/31,2002/2/10,无保留意见加说明段,"梁春,王曙晖",北京中天华正会计师事务所有限公司,深.957,关于对通化金马药业集团股份有限公司等六家公司予以公开谴责的决定,2002/7/2,公开谴责,2001,"推迟披露,其他","推迟披露,其他"
36891_安达信·华强会计师事务所,70,特发信息,2000/12/31,2001/2/16,标准无保留意见,"卢旭蕾,陈勤慧",安达信·华强会计师事务所,深.1087,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2001/7/3,内部批评,2000,"推迟披露,重大遗漏,占用公司资产,其他","推迟披露,重大遗漏,占用公司资产,其他"
