编号,文件名称,处罚时间,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,出现次数,股票代码,年份
1044,关于海南大东海旅游中心股份有限公司违反证券法规行为的处罚决定,2001年3月6日,证监罚字[2001]3号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22548.htm,2,1,关于海南大东海旅游中心股份有限公司违反证券法规行为的处罚决定,0,200613,
1036,关于山东三联集团公司违反证券法规的处罚决定,2001年6月18日,证监罚字[2001]11号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22493.htm,1,1,关于山东三联集团公司违反证券法规的处罚决定,0,338,
1035,关于湖南省张家界旅游开发股份有限公司及肖碧文等人违反证券法规行为的处罚决定,2001年8月3日,证监罚字[2001]12号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22492.htm,2,1,关于湖南省张家界旅游开发股份有限公司及肖碧文等人违反证券法规行为的处罚决定,0,430,
1029,关于牡丹江石化集团股份有限公司（现黑龙江圣方科技股份有限公司）及荣英林等八人违反证券法规行为的处罚决定,2001年8月21日,证监罚字[2001]18号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22486.htm,2,1,关于牡丹江石化集团股份有限公司（现黑龙江圣方科技股份有限公司）及荣英林等八人违反证券法规行为的处罚决定,0,620,
1030,关于西安圣方科技股份有限公司及王大中、刘晓卫违反证券法规行为的处罚决定,2001年8月21日,证监罚字[2001]17号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22487.htm,2,1,关于西安圣方科技股份有限公司及王大中、刘晓卫违反证券法规行为的处罚决定,0,620,
1028,关于郑州百文股份有限公司（集团）及有关人员违反证券法规行为的处罚决定,2001年9月27日,证监罚字[2001]19号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22485.htm,2,1,关于郑州百文股份有限公司（集团）及有关人员违反证券法规行为的处罚决定,0,600898,
1026,关于福建九州集团股份有限公司及赵裕昌、池金明、吴健俩、周小华、于志海、吴素丹、蔡绿水、孙谦、江化开、杨幼义、熊越、周晶、董彬等13人违反证券法规行为的处罚决定,2001年10月26日,证监罚字[2001]21号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22416.htm,2,1,关于福建九州集团股份有限公司及赵裕昌、池金明、吴健俩、周小华、于志海、吴素丹、蔡绿水、孙谦、江化开、杨幼义、熊越、周晶、董彬等13人违反证券法规行为的处罚决定,0,653,
1024,关于对山东渤海集团股份有限公司违反证券法规行为的处罚决定,2001年11月5日,证监罚字[2001]23号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22414.htm,2,1,关于对山东渤海集团股份有限公司违反证券法规行为的处罚决定,0,600858,
1022,关于四川金路集团股份有限公司及有关人员违反证券法规行为的处罚决定,2001年11月9日,证监罚字[2001]25号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22412.htm,2,1,关于四川金路集团股份有限公司及有关人员违反证券法规行为的处罚决定,0,510,
1018,关于江苏沙钢集团有限公司违反证券法规行为的处罚决定,2001年11月30日,证监罚字[2001]29号,http://www.csrc.gov.cn/pub/zjhpublic/G00306212/200804/t20080418_22408.htm,1,1,关于江苏沙钢集团有限公司违反证券法规行为的处罚决定,0,2075,
