证券代码,证券简称,监管类型,处理事由,涉及对象,处理时间,文件地址,0,出现次数,
600732,*ST新梅,通报批评,关于给予上海兴盛实业发展（集团）有限公司通报批评的决定,一般股东,2013/6/28 15:48,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118344.pdf,1,0,
600732,*ST新梅,通报批评,关于给予上海新梅置业股份有限公司及其董事长兼原总经理张静静等有关责任人通报批评的决定,上市公司、董事、高级管理人员,2013/6/28 15:57,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118346.pdf,1,1,
600817,ST宏盛,通报批评,关于给予山西省国新能源发展集团有限公司董事李晓斌、财务处长孙丽斌通报批评的决定,其他,2013/7/4 14:51,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118341.pdf,0,0,
600817,ST宏盛,通报批评,关于给予西安宏盛科技发展股份有限公司前董事长郭永明、现董事长马婷婷通报批评的决定,董事,2013/7/4 15:03,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118343.pdf,0,1,
600005,武钢股份,通报批评,关于给予武汉钢铁股份有限公司董事、原总经理彭辰等通报批评的决定,董事、高级管理人员,2013/7/19 15:59,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118340.pdf,2,0,
600444,*ST国通,通报批评,关于给予安徽国通高新管业股份有限公司及董事长兼董秘钱俊等有关责任人通报批评的决定,上市公司、董事、高级管理人员,2013/9/5 14:37,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118345.pdf,2,0,2011
600247,*ST成城,通报批评,关于给予吉林成城集团股份有限公司和时任董事长成卫文等有关责任人通报批评的决定,上市公司、董事、高级管理人员、控股股东及实际控制人,2013/9/5 15:06,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118342.pdf,2,0,2011
600552,方兴科技,通报批评,关于给予安徽方兴科技股份有限公司前董事长关长文等有关责任人通报批评的决定,董事、高级管理人员,2013/9/5 15:27,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118363.pdf,2,0,
600682,南京新百,通报批评,关于给予南京商贸旅游发展集团有限责任公司通报批评的决定,一般股东,2013/9/5 15:35,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118357.pdf,1,0,
600306,商业城,通报批评,关于给予沈阳商业城股份有限公司及董事长张殿华等有关责任人通报批评的决定,上市公司、董事、高级管理人员,2013/9/5 15:41,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118359.pdf,2,0,
600689,上海三毛,通报批评,关于给予上海三毛企业（集团）股份有限公司及董事长张文卿等有关责任人通报批评的决定,上市公司、董事、高级管理人员,2013/9/6 15:43,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118364.pdf,2,0,
600238,海南椰岛,公开谴责,关于给予海南椰岛（集团）股份有限公司前董事长张春昌公开谴责的决定,董事,2013/9/6 16:37,www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/4118454.pdf,1,0,2006
601558,华锐风电,通报批评,关于给予华锐风电科技（集团）股份有限公司及前副总裁兼财务总监陶刚等有关责任人通报批评的决定,上市公司、高级管理人员,2013/9/14 16:40,www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4118362.pdf,2,0,2010
601558,华锐风电,公开谴责,关于给予华锐风电科技（集团）股份有限公司前董事长兼总裁韩俊良公开谴责的决定,董事,2013/9/16 16:43,www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/4118453.pdf,2,1,
