公司代码,公司简称,处分日期,处分类别,当事人,标题,查看全文,0,出现次数,
503,海虹控股,2001/3/23,内部批评,杨斌,关于对海南海虹企业（控股）股份有限公司及原董事会秘书予以内部批评的决定,2002-04-01_00050342.doc,1,0,
893,东凌国际,2001/2/13,内部批评,广州东凌国际投资股份有限公司,关于对广州冷机股份有限公司予以内部批评的决定,2002-04-01_00089358.doc,1,0,
541,佛山照明,2002/3/29,内部批评,庄坚毅,关于对佛山电器照明股份有限公司董事庄坚毅予以内部通报批评的决定,2002-04-03_0005411147.doc,1,0,
609,绵石投资,2001/3/28,内部批评,北京绵石投资集团股份有限公司,关于对北京燕化高新技术股份有限公司予以内部批评的决定,2002-04-05_000609162.doc,1,0,
662,天夏智慧,2001/7/3,内部批评,天夏智慧城市科技股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-05_00066236.doc,1,0,
688,建新矿业,2001/8/8,内部批评,瞿松,关于对重庆朝华科技股份有限公司及有关人员予以内部通报批评的决定,2002-04-05_0006881180.doc,1,0,
766,通化金马,2001/3/28,内部批评,通化金马药业集团股份有限公司,关于对通化金马药业集团股份有限公司予以内部批评的决定,2002-04-05_0007661177.doc,1,0,
788,北大医药,2001/7/3,内部批评,北大医药股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-05_0007881178.doc,1,0,
856,冀东装备,2001/9/4,内部批评,唐山冀东装备工程股份有限公司,关于对唐山陶瓷股份有限公司予以内部通报批评的决定,2002-04-05_0008561181.doc,1,0,
13,*ST石化A,2001/7/3,内部批评,深圳石化工业集团股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000013240.doc,1,0,
54,建车B,2001/7/3,内部批评,重庆建设汽车系统股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0000541210.doc,1,0,
99,中信海直,2001/7/3,内部批评,中信海洋直升机股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000099237.doc,1,0,
155,川化股份,2001/7/3,内部批评,川化股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000155213.doc,1,0,
404,华意压缩,2001/7/3,内部批评,华意压缩机股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0004041202.doc,1,0,
412,ST 五 环,2001/7/3,内部批评,长春北方五环实业股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0004121196.doc,1,0,
524,岭南控股,2001/9/4,内部批评,广州岭南集团控股股份有限公司,关于对广州市东方宾馆股份有限公司等予以内部通报批评的决定,2002-04-10_000524433.doc,1,0,
566,海南海药,2001/7/3,内部批评,海南海药股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0005661201.doc,1,0,
600,建投能源,2001/7/3,内部批评,河北建投能源投资股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0006001195.doc,1,0,
638,万方发展,2001/7/3,内部批评,万方城镇投资发展股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0006381200.doc,1,0,
651,格力电器,2001/7/3,内部批评,珠海格力电器股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000651182.doc,1,0,
653,ST 九 州,2001/7/3,内部批评,福建九州集团股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0006531198.doc,1,0,
730,*ST 环保,2001/7/3,内部批评,沈阳特种环保设备制造股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0007301194.doc,1,0,
813,德展健康,2001/7/3,内部批评,德展大健康股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000813300.doc,1,0,
817,辽油退市,2001/7/3,内部批评,辽河金马油田股份有限公司等3家公司及有关人员,关于对辽河金马油田股份有限公司等3家公司及有关人员予以公开批评的通报,2002-04-10_0008171158.doc,1,0,
900,现代投资,2001/7/3,内部批评,现代投资股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0009001209.doc,1,0,
905,厦门港务,2001/7/3,内部批评,厦门港务发展股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0009051206.doc,1,0,
912,*ST天化,2001/7/3,内部批评,四川泸天化股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0009121207.doc,1,0,
916,华北高速,2001/7/3,内部批评,华北高速公路股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0009161212.doc,1,0,
936,华西股份,2001/7/3,内部批评,江苏华西村股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0009361211.doc,1,0,
966,长源电力,2001/7/3,内部批评,国电长源电力股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000966559.doc,1,0,
968,蓝焰控股,2001/7/3,内部批评,山西蓝焰控股股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000968305.doc,1,0,
980,众泰汽车,2001/7/3,内部批评,众泰汽车股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000980443.doc,1,0,
993,闽东电力,2001/7/3,内部批评,福建闽东电力股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_0009931205.doc,1,0,
996,中国中期,2001/7/3,内部批评,中国中期投资股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000996283.doc,1,0,
999,华润三九,2001/7/3,内部批评,华润三九医药股份有限公司,关于对广西康达（集团）股份有限公司等公司予以内部批评的决定,2002-04-10_000999673.doc,1,0,
26,飞亚达Ａ,2001/10/31,内部批评,飞亚达（集团）股份有限公司,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2002-04-11_000026476.doc,1,0,
43,中航地产,2001/10/31,内部批评,中航地产股份有限公司,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2002-04-11_0000431215.doc,1,0,
400,许继电气,2001/10/31,内部批评,许继电气股份有限公司,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2002-04-11_000400608.doc,1,0,
408,藏格控股,2001/10/31,内部批评,藏格控股股份有限公司,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2002-04-11_000408514.doc,1,0,
506,中润资源,2001/10/25,内部批评,段续真,关于对四川东泰产业（控股）股份有限公司有关人员予以内部通报批评的决定,2002-04-11_00050660.doc,1,0,
525,红 太 阳,2001/10/31,内部批评,南京红太阳股份有限公司,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2002-04-11_000525501.doc,1,0,
526,*ST紫学,2001/10/31,内部批评,厦门紫光学大股份有限公司,关于对成都宗申联益实业股份有限公司等21家公司予以内部通报批评的决定,2002-04-11_0005261216.doc,1,0,
